SCT_ID,SCT_Code,SCT_DescriptionA_Type1,SCT_DescriptionA_Type2,SCT_DescriptionB,SCT_Semantic_Tags,SCT_Type,SCT_level
301458000,1,,Functional cardiovascular finding,,finding,Concept,"3,4"
106072004,1,,Sensation related to thoracic organ,,finding,Concept,"3,4"
289474006,1,,Lesion of vulva,,finding,Concept,"3,4"
300863000,1,,Mass of axilla,,finding,Concept,"3,4"
448772000,1,,Mass of abdominal cavity structure,,finding,Concept,"3,4"
279061002,1,,Pain of anatomical structure,,finding,Concept,"3,4"
73241006,1,,Abnormal hematopoiesis,,finding,Concept,"3,4"
301305006,1,,Finding of general observation of appearance,,finding,Concept,"3,4"
410720000,1,,Pain by sensation quality,,finding,Concept,"3,4"
248341004,1,,General weight finding,,finding,Concept,"3,4"
297269007,1,,"Endocrine, nutritional and metabolic finding",,finding,Concept,"3,4"
48340000,1,,Incontinence,,finding,Concept,"3,4"
47252008,1,,Alteration in patterns of urinary elimination,,finding,Concept,"3,4"
298364001,1,,Finding of head region,,finding,Concept,"3,4"
301366005,1,,Pain of truncal structure,,finding,Concept,"3,4"
301370002,1,,Finding of sensory dimension of pain,,finding,Concept,"3,4"
116311003,1,,Finding of hand region,,finding,Concept,"3,4"
225552003,1,,Wound finding,,finding,Concept,"3,5"
301227004,1,,Tracheobronchial finding,,finding,Concept,"3,5"
247325003,1,,Altered sensation of skin,,finding,Concept,"3,8"
418290006,1,,Itching,,finding,Concept,"3,8"
118235002,1,,Eye / vision finding,,finding,Concept,"4,5"
271604008,1,,Weight finding [dup],,finding,Concept,"4,5"
724386005,1,,Lesion of genitalia,,finding,Concept,"4,5"
106019003,1,,Finding of elimination pattern,,finding,Concept,"4,5"
289855008,1,,Lesion of female perineum,,finding,Concept,"4,5"
300470007,1,,Finding of pattern of urination,,finding,Concept,"4,5"
427746000,1,,Mass of shoulder region,,finding,Concept,"4,5"
41969006,1,,Idiopathic disease,,finding,Concept,"4,5"
162502002,1,,Finding of pain character,,finding,Concept,"4,5"
105721009,1,,General problem AND/OR complaint,,finding,Concept,"4,5"
297971001,1,,Finding of sensation of skin,,finding,Concept,"4,9"
301855007,1,,Finding of lymph node,,finding,Concept,"1,2,3"
106126000,1,,Emotional state finding,,finding,Concept,"2,3,4"
840358001,1,,High body weight,,finding,Concept,"2,3,4"
300853008,1,,Mass of lymphoreticular structure,,finding,Concept,"2,3,4"
473011001,1,,Allergic condition,"The disposition to develop an allergic reaction, the allergic reaction itself or its consequences.",finding,Concept,"2,3,4"
116312005,1,,Finding of lower limb,,finding,Concept,"2,3,4"
392570002,1,,Blood pressure finding,,finding,Concept,"2,3,4"
128258000,1,,Ventilation finding,,finding,Concept,"2,3,4"
118239008,1,,Lymphoid system finding,,finding,Concept,"2,3,4"
300331000,1,,Lesion of liver,,finding,Concept,"2,3,4"
127401000,1,,Erythropoiesis finding,,finding,Concept,"2,3,4"
302060005,1,,Finding of lymph node and lymphatics,,finding,Concept,"2,3,4"
301365009,1,,Pain of head and neck region,,finding,Concept,"2,3,4"
301229001,1,,Bronchial finding,,finding,Concept,"2,4,6"
609630008,1,,Finding of axilla,,finding,Concept,"3,4,5"
118185001,1,,Pregnancy finding,,finding,Concept,"3,4,5"
271860004,1,,Abdominal mass,,finding,Concept,"3,4,5"
118227000,1,,Vital signs finding,,finding,Concept,"3,4,5"
106168000,1,,Finding related to sleep,,finding,Concept,"3,4,5"
127400004,1,,Hematopoiesis finding,,finding,Concept,"3,4,5"
106064001,1,,Cardiovascular pressure AND/OR pulse finding,,finding,Concept,"3,4,5"
248858001,1,,Vulva finding,,finding,Concept,"3,4,5"
81680005,1,,Neck pain,,finding,Concept,"3,4,5"
106030000,1,,Muscle finding,,finding,Concept,"3,4,5"
444905003,1,,Mass of soft tissue,,finding,Concept,"3,5,6"
82832008,1,,General body state finding,,finding,Concept,"4,5,6"
116275003,1,,Finding of cervical spine,,finding,Concept,"4,5,6"
309525008,1,,Mass of upper limb,,finding,Concept,"4,5,6"
106167005,1,,Consciousness related finding,,finding,Concept,"4,5,6"
281229000,1,,Space-occupying lesion of nervous system,,finding,Concept,"4,5,6"
116308004,1,,Finding of shoulder region,,finding,Concept,"4,5,6"
118190003,1,,Sleep finding,,finding,Concept,"4,5,6"
289849003,1,,Female perineal finding,,finding,Concept,"4,5,6"
84869007,1,,Musculoskeletal symptom,,finding,Concept,"4,5,6"
365929007,1,,Consciousness and/or awareness finding,,finding,Concept,"5,6,7"
118952005,1,,Joint finding,,finding,Concept,"5,6,7"
248519003,1,,Lump on extremities,,finding,Concept,"5,6,7"
119414006,1,,Vertebral column finding,,finding,Concept,"5,6,7"
298384002,1,,Finding of bone of spine,,finding,Concept,"6,7,8"
128153000,1,,Hemostatic system finding,,finding,Concept,"1,2,3,4"
69707008,1,,Abnormal keratinization,,finding,Concept,"1,2,3,4"
366157005,1,,Finding of cardiovascular measurement,,finding,Concept,"2,3,4,5"
249565005,1,,Liver finding,,finding,Concept,"2,3,4,5"
107647005,1,,Weight finding,,finding,Concept,"2,3,4,5"
395538009,1,,Microscopic specimen observation,,finding,Concept,"2,3,4,5"
609626005,1,,Finding of pelvis,,finding,Concept,"2,3,4,5"
300861003,1,,Mass of musculoskeletal structure,,finding,Concept,"3,4,5,6"
248982007,1,,"Pregnancy, childbirth and puerperium finding",,finding,Concept,"3,4,5,6"
301369003,1,,Finding of pattern of pain,,finding,Concept,"3,4,5,6"
300855001,1,,Mass of digestive structure,,finding,Concept,"3,4,5,6"
252041008,1,,Micturition finding,,finding,Concept,"3,4,5,6"
89164003,1,,Breast lump,,finding,Concept,"3,4,5,6"
365605003,1,,Body measurement finding,,finding,Concept,"3,4,5,6"
107653005,1,,Clinical sample finding,,finding,Concept,"3,4,5,6"
248718009,1,,Arterial finding,,finding,Concept,"3,4,5,6"
299735001,1,,Neurological lesion,,finding,Concept,"4,5,6,7"
418799008,1,,Finding reported by subject or history provider,,finding,Concept,"4,5,6,7"
281294003,1,,Sample finding,,finding,Concept,"4,5,6,7"
72724002,1,,Morphologic finding,,finding,Concept,"4,5,6,7"
290073004,1,,Lesion of breast,,finding,Concept,"4,5,6,7"
106165002,1,,Finding related to cerebral function,,finding,Concept,"4,5,6,7"
62574001,1,,Erythropenia,,finding,Concept,"1,2,3,4,5"
165397008,1,,Hemoglobin low,,finding,Concept,"1,2,3,4,5"
278692007,1,,Aspiration into lower respiratory tract,,finding,Concept,"1,2,3,4,5"
300577008,1,,Finding of lesion,,finding,Concept,"1,2,3,5,6"
1156072000,1,,Device finding,,finding,Concept,"1,3,4,5,6"
68052005,1,,Pulmonary aspiration,,finding,Concept,"2,3,4,5,6"
441793007,1,,Hemoglobin level outside reference range,,finding,Concept,"2,3,4,5,6"
249562008,1,,Bowel finding,,finding,Concept,"2,3,4,5,6"
281647001,1,,Adverse reactions,,finding,Concept,"2,3,4,5,6"
298747001,1,,Deformity of upper limb,,finding,Concept,"2,3,4,5,6"
279001004,1,,Pain finding at anatomical site,,finding,Concept,"2,3,4,5,6"
413585005,1,,Aspiration into respiratory tract,,finding,Concept,"2,3,4,5,6"
72670004,1,,Sign,,finding,Concept,"2,3,4,6,7"
301122000,1,,Myocardial lesion,,finding,Concept,"2,3,4,7,8"
124734007,1,,Perineal finding,,finding,Concept,"3,4,5,6,7"
249561001,1,,Abdominal organ finding,,finding,Concept,"3,4,5,6,7"
366467007,1,,Finding of form of arm,,finding,Concept,"3,4,5,6,7"
365860008,1,,General clinical state finding,,finding,Concept,"3,4,5,6,7"
298378000,1,,Finding of neck region,,finding,Concept,"3,4,5,6,7"
248842004,1,,Female genitalia finding,,finding,Concept,"3,4,5,6,7"
365799007,1,,Finding of protein level,,finding,Concept,"3,4,5,6,7"
250271003,1,,White blood cell finding,,finding,Concept,"4,5,6,7,8"
785671009,1,,Finding of substance level,,finding,Concept,"4,5,6,7,8"
106104001,1,,Female reproductive finding,,finding,Concept,"4,5,6,7,8"
118232004,1,,Reproductive finding,,finding,Concept,"5,6,7,8,9"
118199002,1,,Finding relating to sexuality and sexual activity,,finding,Concept,"10,6,7,8,9"
165423001,1,,Red blood cell count low,,finding,Concept,"1,2,3,4,5,6"
118233009,1,,Finding of activity of daily living,,finding,Concept,"1,2,3,4,5,6"
473010000,1,,Hypersensitivity condition,The disposition to develop hypersensitivity or the manifestation of such a disposition.,finding,Concept,"1,2,3,4,5,6"
365949003,1,,Health-related behavior finding,,finding,Concept,"10,11,7,8,9"
165427000,1,,Red blood cell count abnormal,,finding,Concept,"2,3,4,5,6,7"
106100005,1,,Lower urinary tract finding,,finding,Concept,"2,3,4,5,6,7"
248536006,1,,Finding of functional performance and activity,,finding,Concept,"2,3,4,5,6,7"
50820005,1,,Cytopenia,,finding,Concept,"2,3,4,5,6,7"
106080006,1,,Digestive system finding,,finding,Concept,"2,3,4,5,6,7"
714974000,1,,Lesion of skin and/or skin-associated mucous membrane,,finding,Concept,"2,3,4,5,6,8"
119415007,1,,General finding of abdomen,,finding,Concept,"3,4,5,6,7,8"
762656009,1,,Abnormal blood cell count,,finding,Concept,"3,4,5,6,7,8"
609625009,1,,Finding of pelvic region of trunk,,finding,Concept,"3,4,5,6,7,8"
309529002,1,,Lung mass,,finding,Concept,"3,4,5,6,7,8"
36456004,1,,Mental state finding,,finding,Concept,"3,4,5,6,7,8"
116339002,1,,Breast finding,,finding,Concept,"3,4,5,6,7,8"
300479008,1,,Genital finding,,finding,Concept,"3,4,5,6,7,8"
116307009,1,,Finding of upper limb,,finding,Concept,"3,4,5,6,7,8"
298379008,1,,Finding of spinal region,,finding,Concept,"4,5,6,7,8,9"
844005,1,,Behavior finding,,finding,Concept,"10,11,12,8,9"
106128004,1,,Finding relating to behavior,,finding,Concept,"10,11,12,8,9"
699697007,1,,Finding of sensation by site,,finding,Concept,"10,3,4,5,6,7"
414252009,1,,Finding of back,,finding,Concept,"10,5,6,7,8,9"
22253000,1,,Pain,,finding,Concept,"1,2,3,4,5,6,7"
386618008,1,,Gastrointestinal tract finding,,finding,Concept,"2,3,4,5,6,7,8"
365625004,1,,Finding of red blood cell count,,finding,Concept,"2,3,4,5,6,7,8"
442686002,1,,Measurement finding below reference range,,finding,Concept,"2,3,4,5,6,7,8"
421833007,1,,Finding of pain sense,,finding,Concept,"2,3,4,5,6,7,8"
434156008,1,,Infectious agent in bloodstream,,finding,Concept,"2,3,4,5,6,7,8"
299718000,1,,Finding of brain,,finding,Concept,"2,3,4,5,6,7,8"
279075009,1,,Pain finding,,finding,Concept,"2,3,4,5,6,7,8"
249273002,1,,Urinary tract finding,,finding,Concept,"2,3,4,5,6,7,8"
19019007,1,,Symptom,,finding,Concept,"2,3,4,5,6,7,8"
309231007,1,,Lowered hematology findings,,finding,Concept,"2,3,4,5,6,7,8"
56019007,1,,Systemic disease,,finding,Concept,"2,3,4,5,6,7,8"
445144002,1,,Deformity of limb,,finding,Concept,"2,3,4,5,6,7,8"
609624008,1,,Finding of abdomen,,finding,Concept,"2,3,4,5,6,7,8"
442096005,1,,Measurement finding outside reference range,,finding,Concept,"3,4,5,6,7,8,9"
246556002,1,,Central nervous system finding,,finding,Concept,"3,4,5,6,7,8,9"
302293008,1,,Finding of limb structure,,finding,Concept,"3,4,5,6,7,8,9"
271712005,1,,Observation of sensation,,finding,Concept,"3,4,5,6,7,8,9"
118953000,1,,Bone finding,,finding,Concept,"3,4,5,6,7,8,9"
250228007,1,,Red blood cell finding,,finding,Concept,"3,4,5,6,7,8,9"
118225008,1,,Context-dependent finding,,finding,Concept,"3,4,5,6,7,8,9"
609627001,1,,Finding of abdominal segment of trunk,,finding,Concept,"3,4,5,6,7,8,9"
309228006,1,,Lowered laboratory findings,,finding,Concept,"3,4,5,6,7,8,9"
301232003,1,,Lesion of lung,,finding,Concept,"3,4,5,6,7,8,9"
406122000,1,,Head finding,,finding,Concept,"2,3,4,5,6,7,8,9"
106182000,1,,Immune system finding,,finding,Concept,"2,3,4,5,6,7,8,9"
247440002,1,,Skin or mucosa lesion,,finding,Concept,"2,3,4,5,6,7,8,9"
431950004,1,,Bloodstream finding,,finding,Concept,"2,3,4,5,6,7,8,9"
106098005,1,,Urinary system finding,,finding,Concept,"2,3,4,5,6,7,8,9"
417893002,1,,Deformity,,finding,Concept,"2,3,4,5,6,7,8,9"
118254002,1,,Finding of head and neck region,,finding,Concept,"10,3,4,5,6,7,8,9"
118238000,1,,Urogenital finding,,finding,Concept,"10,3,4,5,6,7,8,9"
251052000,1,,Myocardial finding,,finding,Concept,"10,3,4,5,6,7,8,9"
118245000,1,,Measurement finding,,finding,Concept,"10,3,4,5,6,7,8,9"
414253004,1,,Finding of cellular component of blood,,finding,Concept,"10,3,4,5,6,7,8,9"
282281003,1,,Dermatological finding,,finding,Concept,"10,3,4,5,6,7,8,9"
299691001,1,,"Finding of blood, lymphatics and immune system",,finding,Concept,"10,2,3,4,5,6,7,8,9"
276435006,1,,Pain / sensation finding,,finding,Concept,"10,2,3,4,5,6,7,8,9"
301230006,1,,Lung finding,,finding,Concept,"10,2,3,4,5,6,7,8,9"
416972005,1,,Finding of pelvic structure,,finding,Concept,"10,11,3,4,5,6,7,8,9"
822987005,1,,Finding of abdominopelvic segment of trunk,,finding,Concept,"10,11,3,4,5,6,7,8,9"
106147001,1,,Sensory nervous system finding,,finding,Concept,"10,11,2,3,4,5,6,7,8,9"
301226008,1,,Lower respiratory tract finding,,finding,Concept,"10,11,2,3,4,5,6,7,8,9"
386617003,1,,Digestive system finding,,finding,Concept,"10,11,2,3,4,5,6,7,8,9"
106076001,1,,Skin finding,,finding,Concept,"10,11,2,3,4,5,6,7,8,9"
102957003,1,,Neurological finding,,finding,Concept,"10,11,12,3,4,5,6,7,8,9"
300851005,1,,Mass of respiratory structure,,finding,Concept,"10,11,12,3,4,5,6,7,8,9"
301095005,1,,Cardiac finding,,finding,Concept,"10,11,12,3,4,5,6,7,8,9"
440299000,1,,Mass of thoracic structure,,finding,Concept,"10,11,12,3,4,5,6,7,8,9"
309524007,1,,Mass of trunk,,finding,Concept,"10,11,12,13,4,5,6,7,8,9"
384821006,1,,"Mental state, behavior and/or psychosocial function finding",,finding,Concept,"10,11,12,13,4,5,6,7,8,9"
301296002,1,,Mediastinal finding,,finding,Concept,"10,11,12,13,4,5,6,7,8,9"
271595008,1,,"Mental state, behavior and/or psychosocial function finding",,finding,Concept,"10,11,12,13,4,5,6,7,8,9"
106200001,1,,Hematopoietic system finding,,finding,Concept,"10,11,12,2,3,4,5,6,7,8,9"
415531008,1,,Skin AND/OR mucosa finding,,finding,Concept,"10,11,12,2,3,4,5,6,7,8,9"
441742003,1,,Evaluation finding,,finding,Concept,"10,11,12,13,3,4,5,6,7,8,9"
106048009,1,,Respiratory finding,,finding,Concept,"10,11,12,13,2,3,4,5,6,7,8,9"
106077005,1,,Integumentary system finding,,finding,Concept,"10,11,12,13,2,3,4,5,6,7,8,9"
118240005,1,,Finding by method,,finding,Concept,"10,11,12,13,14,2,4,5,6,7,8,9"
116367006,1,,Psychological finding,,finding,Concept,"10,11,12,13,14,3,4,5,6,7,8,9"
21829004,1,,Blood vessel finding,,finding,Concept,"10,11,12,13,14,3,4,5,6,7,8,9"
300862005,1,,Mass of body region,,finding,Concept,"10,11,12,13,14,3,4,5,6,7,8,9"
406123005,1,,Viscus structure finding,,finding,Concept,"1,10,11,12,13,2,3,4,5,6,7,8,9"
301182002,1,,General cardiovascular finding,,finding,Concept,"10,11,12,13,14,15,4,5,6,7,8,9"
298705000,1,,Finding of region of thorax,,finding,Concept,"10,11,12,13,14,15,3,4,5,6,7,8,9"
609623002,1,,Finding of upper trunk,,finding,Concept,"10,11,12,13,14,15,16,4,5,6,7,8,9"
300848003,1,,Mass of body structure,,finding,Concept,"10,11,12,13,14,15,2,3,4,5,6,7,8,9"
271586000,1,,Lump,,finding,Concept,"10,11,12,13,14,15,16,3,4,5,6,7,8,9"
106063007,1,,Cardiovascular finding,,finding,Concept,"10,11,12,13,14,15,16,3,4,5,6,7,8,9"
298363007,1,,Finding of regional structure,,finding,Concept,"10,11,12,13,14,15,16,3,4,5,6,7,8,9"
248402002,1,,General finding of soft tissue,,finding,Concept,"10,11,12,13,14,15,16,3,4,5,6,7,8,9"
118228005,1,,Functional finding,,finding,Concept,"1,10,11,12,13,14,15,2,3,4,5,6,7,8,9"
300847008,1,,Finding of a mass,,finding,Concept,"10,11,12,13,14,15,16,17,4,5,6,7,8,9"
106028002,1,,Musculoskeletal finding,,finding,Concept,"10,11,12,13,14,15,16,17,3,4,5,6,7,8,9"
302292003,1,,Finding of trunk structure,,finding,Concept,"10,11,12,13,14,15,16,17,3,4,5,6,7,8,9"
276438008,1,,Swelling / lump finding,,finding,Concept,"10,11,12,13,14,15,16,17,18,3,4,5,6,7,8,9"
301857004,1,,Finding of body region,,finding,Concept,"10,11,12,13,14,15,16,17,18,3,4,5,6,7,8,9"
118222006,1,,General finding of observation of patient,,finding,Concept,"10,11,12,13,14,15,16,17,18,19,2,3,4,5,6,7,8,9"
118234003,1,,Finding by site,,finding,Concept,"10,11,12,13,14,15,16,17,18,19,2,3,4,5,6,7,8,9"
250171008,1,,Clinical history and observation findings,,finding,Concept,"10,11,12,13,14,15,16,17,18,19,2,20,3,4,5,6,7,8,9"
246188002,1,,Finding,,finding,Concept,"10,11,12,13,14,15,16,17,18,19,20,21,3,4,5,6,7,8,9"
404684003,1,,Clinical finding,,finding,TLC,"10,11,12,13,14,15,16,17,18,19,2,20,21,3,4,5,6,7,8,9"
373873005,1,,Pharmaceutical / biologic product,,product,TLC,"1,2,3"
277547006,1,,Hyposmolality,,disorder,Concept,0
34095006,1,,Dehydration,,disorder,Concept,0
29689003,1,,Infective myositis,,disorder,Concept,0
429271009,1,,Ventilator-acquired pneumonia,,disorder,Concept,0
127331000119101,1,,Severe sepsis with acute organ dysfunction due to methicillin susceptible Staphylococcus aureus,,disorder,Concept,0
44054006,1,,Diabetes mellitus type 2,,disorder,Concept,0
13746004,1,,Bipolar disorder,,disorder,Concept,0
735452003,1,,Hereditary vitamin B12 deficiency anemia,,disorder,Concept,0
72972005,1,,Dilated cardiomyopathy secondary to drug,,disorder,Concept,0
441746000,1,,Infarction of lung due to iatrogenic pulmonary embolism,,disorder,Concept,0
81060008,1,,Intestinal obstruction,,disorder,Concept,0
87049008,1,,Disorder of phosphorus metabolism,,disorder,Concept,0
125649002,1,,Open wound of forearm,,disorder,Concept,0
87522002,1,,Iron deficiency anemia,,disorder,Concept,0
25904003,1,,Acquired coagulation factor deficiency,,disorder,Concept,0
26517000,1,,Acquired deformity of finger,,disorder,Concept,0
195967001,1,,Asthma,,disorder,Concept,0
200645004,1,,Cellulitis and abscess of face,,disorder,Concept,0
235919008,1,,Gallbladder calculus,,disorder,Concept,0
93870000,1,,Malignant neoplasm of liver,,disorder,Concept,0
449084002,1,,Sepsis due to Serratia,,disorder,Concept,0
267447008,1,,Hypo-osmolality and or hyponatremia,,disorder,Concept,0
94181007,1,,Secondary malignant neoplasm of axillary lymph nodes,,disorder,Concept,0
234347009,1,,Anemia of chronic disorder,,disorder,Concept,0
40930008,1,,Hypothyroidism,,disorder,Concept,0
59021001,1,,Angina decubitus,,disorder,Concept,0
20010003,1,,Borderline personality disorder,,disorder,Concept,0
35489007,1,,Depressive disorder,,disorder,Concept,0
59621000,1,,Essential hypertension,,disorder,Concept,0
188154003,1,,Malignant neoplasm of upper-outer quadrant of female breast,,disorder,Concept,0
19943007,1,,Cirrhosis of liver,,disorder,Concept,0
473092007,1,,Infection and inflammation associated with indwelling urinary catheter,,disorder,Concept,0
24982008,1,,Diplopia,,disorder,Concept,0
238136002,1,,Morbid obesity,,disorder,Concept,0
1156409003,1,,Anaplastic ependymoma of central nervous system,"A rare malignant type of ependymoma that most often arises in the supratentorial region of the brain of children and young adults and that manifests with variable symptoms including headaches, nausea, vision impairment, memory loss and difficulty walking.",disorder,Concept,0
736152001,1,,Infection of bloodstream co-occurrent and due to central venous catheter in situ,,disorder,Concept,0
21420006,1,,Alkalosis,,disorder,Concept,0
59927004,1,,Hepatic failure,,disorder,Concept,0
1085006,1,,Candidiasis of vulva,,disorder,Concept,0
78275009,1,,Obstructive sleep apnea syndrome,,disorder,Concept,0
68566005,1,,Urinary tract infectious disease,,disorder,Concept,0
40275004,1,,Contact dermatitis,A polymorphic pattern of inflammatory reaction of the skin in response to contact with external irritants or allergens.,disorder,Concept,0
65710008,1,,Acute respiratory failure,,disorder,Concept,0
266096002,1,,Methicillin-resistant staphylococcus aureus infection,,disorder,Concept,0
267272006,1,,Postpartum coagulation defects,,disorder,Concept,0
398057008,1,,Tension-type headache,,disorder,Concept,0
94921000119107,1,,Episodic mood disorder,,disorder,Concept,0
441481004,1,,Chronic systolic heart failure,,disorder,Concept,0
